[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\pkg_resources\_vendor\pyparsing\util.py first seen with mtime 1672942171.2846224
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\win32comext\shell\__init__.py first seen with mtime 1677274005.9854684
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\docutils\nodes.py first seen with mtime 1683626537.4549048
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\jwt\exceptions.py first seen with mtime 1679570491.8264086
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1681506453.5217452
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\difflib.py first seen with mtime 1670350170.0
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\chardet\jpcntx.py first seen with mtime 1681558663.7136285
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\django\db\models\fields\related.py first seen with mtime 1681506459.3843791
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\Desktop\Software - Ticketwave\TicketWave-Backend\Ticketwave\tickets\models.py first seen with mtime 1683634751.6336362
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\importlib\resources\_legacy.py first seen with mtime 1670350170.0
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\email\mime\base.py first seen with mtime 1670350170.0
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\attr\filters.py first seen with mtime 1672942633.4631507
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\xml\dom\xmlbuilder.py first seen with mtime 1670350172.0
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\Desktop\Software - Ticketwave\TicketWave-Backend\Ticketwave\venues\filters.py first seen with mtime 1681549893.1384234
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\email\charset.py first seen with mtime 1670350170.0
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\site-packages\certifi\core.py first seen with mtime 1672942633.2183914
[09/May/2023 16:44:09] DEBUG [django.utils.autoreload:394] File C:\Users\Jemmy\AppData\Local\Programs\Python\Python311\Lib\email\mime\text.py first seen with mtime 1670350170.0
